arquitectuta,error-train,desv-error-train,error-test,desv-error-test
(n:2:k),0.0297094,8.22369e-05,0.0364562,0.000309978
(n:4:k),0.029758,6.12666e-05,0.036362,0.000239498
(n:8:k),0.0297447,0.000401935,0.0363076,0.000406638
(n:32:k),0.0291585,0.000409247,0.0361904,0.000930909
(n:64:k),0.0279803,0.000137091,0.0354173,0.000314833
(n:100:k),0.0283426,0.000778661,0.0365482,0.000252493
(n:2:2:k),0.0297266,3.94678e-05,0.0363048,0.000210629
(n:4:4:k),0.0297223,4.53382e-05,0.0363441,0.000285346
(n:8:8:k),0.0299509,0.000126738,0.036167,0.000104973
(n:32:32:k),0.0293756,0.000408474,0.0365286,0.000675989
(n:64:64:k),0.0267517,0.000749347,0.033586,0.000751515
(n:100:100:k),0.0225438,0.00694352,0.0305728,0.00680754
